id,picname,latitude,longitude,heading,pitch,zoom,title,date,rights,creator,description,other,xml_resource,photo_file,photo_file_resource,thumbnail_file,thumbnail_file_resource
11,1500011.png,22.994719,120.201544,198.64,-3.86,,大宮町通,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,大宮町位於市中心，清代為關帝廟街、下橫街、轅門街、磚雅橋街等街道串連，是最早開發的地區之一，街上有許多工商行號，照片左側為販售汽車的山田商店，右側為販售玻璃的燦興硝子店，現為永福路。,,tnch1500011,tainan_old_photos/photos/011_1500011_大宮町通.png,p_1500011,tainan_old_photos/thumbnails/011_1500011_大宮町通.png,s_1500011
12,1500012.png,22.992136,120.201842,163.69,-14.36,,小出商行,1935,國立臺灣大學圖書館,太田猛《臺灣大觀》,樓高五層，為末廣町僅次於林百貨的第二高建築，四樓以上為員工住宅，負責人為小出平左衛門，店內販售歐美舶來品、化粧品、圖書文具、運動器材等等，也發行介紹臺灣鄉土風貌的風景明信片。,,tnch1500012,tainan_old_photos/photos/012_1500012_小出商行.png,p_1500012,tainan_old_photos/thumbnails/012_1500012_小出商行.png,s_1500012
13,1500013.png,22.989566,120.197485,75.22,-6.04,,靖波門（小西門）,1936,國立臺灣大學圖書館,臺灣總督府內務局《史蹟調查報告》第二輯,築於1775年，又名「靖波門」，有祈求風平浪靜以利船隻進出之意，為單簷歇山式造型。日治時期列為「史蹟」保存，戰後因道路拓寬拆除，移往成功大學校內，旁邊留有市定古蹟臺灣府城城垣小東門段殘蹟。,,tnch1500013,tainan_old_photos/photos/013_1500013_靖波門（小西門）.png,p_1500013,tainan_old_photos/thumbnails/013_1500013_靖波門（小西門）.png,s_1500013
14,1500014.png,22.982046,120.205025,225.42,-3.50,,五妃墓,1915,中央研究院臺灣史研究所,臺灣總督府民政部編《記念臺灣寫真帖》,原名五烈墓，1683年鄭克塽降清，寧靖王將殉死心意告訴五位姬妾，她們聽聞後決定自縊共赴黃泉，寧靖王將五人下葬後也自縊身亡。1746年清廷下令修墳，並在墓前建廟祭祀，現為國定古蹟。,,tnch1500014,tainan_old_photos/photos/014_1500014_五妃墓.png,p_1500014,tainan_old_photos/thumbnails/014_1500014_五妃墓.png,s_1500014
15,1500015.png,22.982095,120.205085,232.36,-6.42,,五妃墓,1945-,中央研究院臺灣史研究所,費邁克集藏，臺灣觀光影片中心發行〈五妃墓〉,單進兩護龍式建築，原為明鄭時期1683年隨寧靖王殉死之五位姬妾的墓地，1746年由官府整修墳塚、立廟。1926年愛國婦人會臺南支部募款擴建，二戰盟軍炸燬拜亭、西廂，未損及墳地。戰後修復，1983年公告為國定古蹟。,,tnch1500015,tainan_old_photos/photos/015_1500015_五妃墓.png,p_1500015,tainan_old_photos/thumbnails/015_1500015_五妃墓.png,s_1500015
16,1500016.png,22.992554,120.199787,351.65,-17.32,,五福本店,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,五福商店位於末廣町三丁目，樓高四層，外觀為洋式建築，立面裝飾著「福」字與五福商店的日文拼音「GOFUKUSHOTEN」，負責人為楊添賜，店內販售歐美百貨，包含化妝品、沐浴用品、留聲機等等。,,tnch1500016,tainan_old_photos/photos/016_1500016_五福本店.png,p_1500016,tainan_old_photos/thumbnails/016_1500016_五福本店.png,s_1500016
17,1500017.png,22.994230,120.205961,25.74,-4.65,,公會堂,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,外觀為西洋巴洛克風格建築，原址為清代道光年間富紳吳尚新修築的吳園，設有庭園樓閣，以及模仿漳州城外飛來峰的假山造景，遍植花草樹木，為各界官商士紳聚會飲宴的場所。,,tnch1500017,tainan_old_photos/photos/017_1500017_公會堂.png,p_1500017,tainan_old_photos/thumbnails/017_1500017_公會堂.png,s_1500017
18,1500018.png,22.994100,120.205829,47.69,-4.53,,臺南公館,1914,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第參集,原為臺南富紳吳尚新修築的宅邸吳園，有花草奇石與假山泉潭，於1910年改建，增加了洋館建築、日式房舍、舞臺等等，以及附屬的臺南圖書館，供市民社交集會利用。,,tnch1500018,tainan_old_photos/photos/018_1500018_臺南公館.png,p_1500018,tainan_old_photos/thumbnails/018_1500018_臺南公館.png,s_1500018
19,1500019.png,22.997012,120.204354,263.56,-12.82,,六安醫院,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,位於白金町四丁目（三四境街），院長為黃國棟醫師，畢業於臺北醫學專門學校、日本醫科大學，擅長內科與小兒科。,,tnch1500019,tainan_old_photos/photos/019_1500019_六安醫院.png,p_1500019,tainan_old_photos/thumbnails/019_1500019_六安醫院.png,s_1500019
20,1500020.png,22.990079,120.204369,77.47,1.03,,孔子廟,1938,中央研究院臺灣史研究所,山崎鋆一郎著《臺灣の風光》,孔子廟是目前臺南留存最完整的傳統閩南建築群，大成坊分成東西兩座，每座上方各有六個燕尾，造型特殊。東大成坊現為廟宇總入口，向外懸有「全臺首學」匾額。圖中水池可能為孔廟前方常見的半圓形「泮池」。,,tnch1500020,tainan_old_photos/photos/020_1500020_孔子廟.png,p_1500020,tainan_old_photos/thumbnails/020_1500020_孔子廟.png,s_1500020
21,1500021.png,22.990376,120.204131,346.07,-9.90,,臺南孔子廟大成殿,1915,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第四集,大成殿是廟中層級最高的建物，前方露臺為祭孔儀式表演佾舞的地方。「大成」指孔子集學問之大成，每年春、秋兩季遵循古禮舉行祭典，以舞樂、牲酒祭品表達對孔子崇敬之意。,,tnch1500021,tainan_old_photos/photos/021_1500021_臺南孔子廟大成殿.png,p_1500021,tainan_old_photos/thumbnails/021_1500021_臺南孔子廟大成殿.png,s_1500021
22,1500022.png,22.990316,120.204119,2.41,0.04,,孔子廟,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,明鄭時期1665年陳永華倡議興建，為當時全臺首學、最高學府。清代多次修築擴建，規模達到顛峰。日治曾作為日軍屯駐所與公學校等用途，1917年解體重建形成今日範圍。二戰遭轟炸嚴重受損，戰後政府數次整修，現為國定古蹟。,,tnch1500022,tainan_old_photos/photos/022_1500022_孔子廟.png,p_1500022,tainan_old_photos/thumbnails/022_1500022_孔子廟.png,s_1500022
23,1500023.png,22.990370,120.204056,6.35,-8.41,,臺南孔子廟,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南孔子廟〉,臺南孔子廟為三進兩廂之三合院建築，遵循前殿後閣、左學右廟格局。東邊立有全臺文廟唯一的泮宮石坊，刻畫雙龍、石獅、琴棋書畫等雕飾，原為孔廟最外層的入口，因開闢南門路向東移。,,tnch1500023,tainan_old_photos/photos/023_1500023_臺南孔子廟.png,p_1500023,tainan_old_photos/thumbnails/023_1500023_臺南孔子廟.png,s_1500023
24,1500024.png,22.997449,120.211712,308.22,-16.87,,日本勸業銀行臺南支店,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,日本勸業銀行以振興實業為目的，提供農業、工業、商業貸款，於1928年在三井物產原址設立臺南支店，外觀為洋式建築，設有圓塔樓，戰後改為中華日報社，於1981年拆除改建為現貌。,,tnch1500024,tainan_old_photos/photos/024_1500024_日本勸業銀行臺南支店.png,p_1500024,tainan_old_photos/thumbnails/024_1500024_日本勸業銀行臺南支店.png,s_1500024
25,1500025.png,22.992795,120.200942,99.69,1.25,,臺南市役所,1935,國立臺灣圖書館,臺日社臺南支局出版《臺南市要覽》,清代為臺澎兵備道署所在地，位於當時的十字街西定坊，日治時期曾用於臺南縣廳、臺南廳、警務廳等政府部門的辦公場所，1930年代改為臺南市役所（即市政府），戰後改為永福國小。,,tnch1500025,tainan_old_photos/photos/025_1500025_臺南市役所.png,p_1500025,tainan_old_photos/thumbnails/025_1500025_臺南市役所.png,s_1500025
26,1500026.png,22.992061,120.202193,155.76,-7.13,,銀座通,1939,中央研究院臺灣史研究所,日本旅行協會臺灣支部編纂《臺灣鐵道旅行案內》昭和十四年版,林百貨旁邊的「林商行前」巴士站，當時臺灣各大城市陸續開始營運市內公共巴士，總督府交通局也設立行駛於西部縱貫線的局營巴士，讓臺灣城市之間的公路運輸交通出現了全新的發展。,,tnch1500026,tainan_old_photos/photos/026_1500026_銀座通.png,p_1500026,tainan_old_photos/thumbnails/026_1500026_銀座通.png,s_1500026
27,1500027.png,22.991964,120.202271,330.25,-6.87,,臺南銀座,1940,中央研究院臺灣史研究所,日本旅行協會臺灣支部編纂《臺灣鐵道旅行案內》昭和十五年版,末廣町北側的店鋪，照片中為穿著深色長袖水手服樣式制服的女學校學生，臺南當時有州立第一高等女學校、第二高等女學校，以及私立的長老教女學校、家齊女學校等多所女子學校。,,tnch1500027,tainan_old_photos/photos/027_1500027_臺南銀座.png,p_1500027,tainan_old_photos/thumbnails/027_1500027_臺南銀座.png,s_1500027
28,1500028.png,22.992028,120.202349,168.95,-2.24,,臺南銀座,1942,中央研究院臺灣史研究所,臺灣總督府交通局鐵道部編纂《臺灣鐵道旅行案內》,林百貨前的臺南市內公共巴士，為採購自美國的雪佛蘭（Chevrolet）巴士，此型巴士後來改為採購引擎與底盤，在日本組裝生產，照片中也可看到馬車、腳踏車等其他交通工具。,,tnch1500028,tainan_old_photos/photos/028_1500028_臺南銀座.png,p_1500028,tainan_old_photos/thumbnails/028_1500028_臺南銀座.png,s_1500028
29,1500029.png,22.992053,120.203025,244.76,-6.48,,臺南銀座,1939,中央研究院臺灣史研究所,臺灣總督府交通局鐵道部《風光台湾》,林百貨為末廣町商店街的地標，為日人林方一投資經營，一樓到四樓為百貨賣場，四樓與五樓設有玩具店與食堂，六樓有瞭望臺、塔樓與電梯機械室，以及祈求生意興隆的稻荷神社，可從樓頂眺望臺南市區的景色。,,tnch1500029,tainan_old_photos/photos/029_1500029_臺南銀座.png,p_1500029,tainan_old_photos/thumbnails/029_1500029_臺南銀座.png,s_1500029
30,1500030.png,22.991929,120.202696,245.20,-16.72,,末廣町南側店鋪,1932,中央研究院臺灣史研究所,臺灣建築會編《臺灣建築會誌》第四輯第六號,於1931年修築的末廣町商店街，建築樣式採統一設計，為折衷樣式的鋼筋混凝土建築，外觀為人造洗石子，在林百貨與小出商行的塔樓與旗竿上設有避雷針，以防雷擊引起火災。,,tnch1500030,tainan_old_photos/photos/030_1500030_末廣町南側店鋪.png,p_1500030,tainan_old_photos/thumbnails/030_1500030_末廣町南側店鋪.png,s_1500030
31,1500031.png,22.991916,120.202523,336.30,-7.36,,末廣町北側店鋪,1932,中央研究院臺灣史研究所,臺灣建築會編《臺灣建築會誌》第四輯第六號,末廣町商店街設計者為臺灣總督府技師梅澤捨次郎，由田村組負責建造工事，北側均為三層樓建築，一樓為招待顧客的店面，二三樓則作為事務所、住宅、倉庫等各項用途。,,tnch1500031,tainan_old_photos/photos/031_1500031_末廣町北側店鋪.png,p_1500031,tainan_old_photos/thumbnails/031_1500031_末廣町北側店鋪.png,s_1500031
32,1500032.png,22.991971,120.202705,252.73,-11.88,,臺南銀座通,1939,國立臺灣大學圖書館,臺灣電力株式會社《臺灣電力の展望》,臺南市1930年代最新穎時髦的商店購物街，街道兩旁有百貨店、書店、藥局、食品批發商、喫茶店、照相館、攝影器材店、留聲機店、腳踏車店等等，為旅遊指南上的重點推薦之處。,,tnch1500032,tainan_old_photos/photos/032_1500032_臺南銀座通.png,p_1500032,tainan_old_photos/thumbnails/032_1500032_臺南銀座通.png,s_1500032
33,1500033.png,22.992128,120.203303,202.88,-10.62,,臺南銀座,1935,國立臺灣大學圖書館,小川嘉一編《臺灣鐵道旅行案內》,末廣町一丁目，最左側的建築為山田齒科醫院，其次為販售和洋圖書雜誌的崇文堂書店，右側為二丁目的地標林百貨，是臺南第一家現代百貨公司，販售美容化妝品、鞋帽服飾等等新潮用品。,,tnch1500033,tainan_old_photos/photos/033_1500033_臺南銀座.png,p_1500033,tainan_old_photos/thumbnails/033_1500033_臺南銀座.png,s_1500033
34,1500034.png,22.992255,120.201251,95.83,-0.76,,末廣町通,1934,國立臺灣圖書館,臺南市勸業協會《臺南市商工案內》,末廣町二丁目的新建商店街，為當時臺南市內觀光地標之一，北側均為三層樓建築，南側有六層樓的林百貨與五層樓的小出商行，在二戰時曾遭美軍飛機掃射，部分建築物受損。,,tnch1500034,tainan_old_photos/photos/034_1500034_末廣町通.png,p_1500034,tainan_old_photos/thumbnails/034_1500034_末廣町通.png,s_1500034
35,1500035.png,22.992072,120.203100,270.66,-6.25,,末廣町銀座街,1939,國立臺灣圖書館,臺南市役所《台南市要览》,左側為正在舉行特賣活動的林百貨，中間為經營舶來品、圖書文具、運動器材的小出商行，右側為日本勸業銀行臺南支店，建築造型與臺北支店相似，新穎繁華的末廣町商店街當時有著臺南銀座的美名。,,tnch1500035,tainan_old_photos/photos/035_1500035_末廣町銀座街.png,p_1500035,tainan_old_photos/thumbnails/035_1500035_末廣町銀座街.png,s_1500035
36,1500036.png,22.992202,120.203574,252.35,-5.21,,臺南名所銀座通,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南名勝繪葉書〉,左側建築為臺南庶民信用組合，提供小額信貸服務，緊臨的是山田齒科醫院與崇文堂書店，以及庶民組合的巴士站牌，中間為地標樓高六層的林百貨，右側為1937年興建的日本勸業銀行臺南支店。,,tnch1500036,tainan_old_photos/photos/036_1500036_臺南名所銀座通.png,p_1500036,tainan_old_photos/thumbnails/036_1500036_臺南名所銀座通.png,s_1500036
37,1500037.png,22.992156,120.201743,113.63,-4.96,,末廣町,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南‧末廣町の街景〉,末廣町於1931年興築的新商業街，將原本的街屋拆除重建，建築均為鋼筋混凝土結構，設有電燈、電扇等電力設備，總工程費達四十五萬圓，街道兩側種植椰子樹，顯現南國都市風情。,,tnch1500037,tainan_old_photos/photos/037_1500037_末廣町.png,p_1500037,tainan_old_photos/thumbnails/037_1500037_末廣町.png,s_1500037
38,1500038.png,22.992215,120.201447,110.59,-2.22,,臺南銀座通,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈（臺南名所）臺南驛全景、臺南銀座通り〉,臺南市區改正時，於1927年由民間行號發起，計畫集資興建住商合一的商店街，原先聚集了百餘位投資參與者，但因為經濟大蕭條等種種因素，到1931年方才著手設計施工，於隔年完工。,,tnch1500038,tainan_old_photos/photos/038_1500038_臺南銀座通.png,p_1500038,tainan_old_photos/thumbnails/038_1500038_臺南銀座通.png,s_1500038
39,1500039.png,22.995387,120.201863,110.74,-7.49,,本町通,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,清代時為鞋街、打鐵街、草花街、竹仔街、帽仔街等街道，其歷史可追溯至荷蘭時期的普羅民遮街，為臺南市區中最古老的街道之一，後來在街道中增建了市場，有許多民生店舖於此經營，在日治時期市場被拆除，現為民權路。,,tnch1500039,tainan_old_photos/photos/039_1500039_本町通.png,p_1500039,tainan_old_photos/thumbnails/039_1500039_本町通.png,s_1500039
40,1500040.png,22.988391,120.199058,160.42,-3.30,,臺南刑務所,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,1896年創設於臺南城內太子街（泉町），改建自清代軍火庫，原名「臺南監獄署」，1924年更名「臺南刑務所」，在當時是規模僅次於臺北的大型監獄。戰後沿用至1983年新獄完工，現址為飯店與百貨公司。,,tnch1500040,tainan_old_photos/photos/040_1500040_臺南刑務所.png,p_1500040,tainan_old_photos/thumbnails/040_1500040_臺南刑務所.png,s_1500040
41,1500041.png,22.989798,120.201010,157.62,-16.27,,臺南地方法院,1915,中央研究院臺灣史研究所,臺灣總督府民政部編《記念臺灣寫真帖》,建於1912年，1915年噍吧哖事件審判地，原址在清代為馬兵營、連橫故居。戰後沿用至2001年搬遷新址，見證了白色恐怖、戒嚴後期民眾抗爭等司法史，是全臺僅存之日治時期大型地方法院建築，現為國定古蹟。,,tnch1500041,tainan_old_photos/photos/041_1500041_臺南地方法院.png,p_1500041,tainan_old_photos/thumbnails/041_1500041_臺南地方法院.png,s_1500041
42,1500042.png,22.989717,120.201400,219.24,-4.47,,臺南地方法院,1915,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第八集,巴洛克建築風格，八角形圓頂飾有老虎窗與牛眼窗。馬薩式屋頂內為西式木屋架構造。精緻的門廊與華麗的門廳，皆屬日治建築之冠，與總統府、臺灣博物館並稱為日治時期臺灣三大建築。,,tnch1500042,tainan_old_photos/photos/042_1500042_臺南地方法院.png,p_1500042,tainan_old_photos/thumbnails/042_1500042_臺南地方法院.png,s_1500042
43,1500043.png,22.993744,120.192575,81.36,-9.91,,安平運河,1935,國立臺灣圖書館,臺日社臺南支局出版《臺南市要覽》,臺南通往安平港的水道運河在清末逐漸淤積，潮水低潮時船舶阻塞不易通行，日治初期先著手疏濬拓寬，後來又配合安平築港規劃改道，但因所需資金龐大，當局以撥款與增課特別稅等方式籌資，耗費數年方完工。,,tnch1500043,tainan_old_photos/photos/043_1500043_安平運河.png,p_1500043,tainan_old_photos/thumbnails/043_1500043_安平運河.png,s_1500043
44,1500044.png,22.992864,120.205489,124.06,-4.54,,江頭齒科醫院,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,於1923年在圓環旁邊大正町開業的江頭齒科醫院，院長為日本佐賀縣出生的江頭照治，畢業於東京齒科，照片中在外牆上有著「DENTAL OFFICE」即「牙科診所」的英文。,,tnch1500044,tainan_old_photos/photos/044_1500044_江頭齒科醫院.png,p_1500044,tainan_old_photos/thumbnails/044_1500044_江頭齒科醫院.png,s_1500044
45,1500045.png,22.976399,120.207060,76.26,-4.71,,竹溪寺,1915,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第拾集,興建於1660年代，另一說法為1684年。1927年整修為中西折衷樣式。寺中紅獅和六牙白象雕塑引人注目。主殿供奉釋迦牟尼佛、藥師佛與阿彌陀佛三寶佛，「了然世界」匾額寓意細觀大千，洞悉萬物，為臺南三大名匾之一。,,tnch1500045,tainan_old_photos/photos/045_1500045_竹溪寺.png,p_1500045,tainan_old_photos/thumbnails/045_1500045_竹溪寺.png,s_1500045
46,1500046.png,22.994098,120.199077,234.69,-4.33,,西市場,1915,中央研究院臺灣史研究所,臺灣總督府民政部編《記念臺灣寫真帖》,設立於1905年，繼臺北市場後於1911年也設立了冷藏庫，提供本地與進口的牛肉、豬肉、魚類、蔬菜冷藏服務，另外鋪設了輕便鐵道，以運送城南的蔬果與屠宰場的畜肉。,,tnch1500046,tainan_old_photos/photos/046_1500046_西市場.png,p_1500046,tainan_old_photos/thumbnails/046_1500046_西市場.png,s_1500046
47,1500047.png,22.993533,120.197491,68.24,0.39,,西市場,1915,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第七集,西市場曾於1911年夏季遭到颱風吹毀，於隔年重建，後續不斷有改裝與增建，市場外曾有廣場與池塘，並種殖林木供遊憩納涼，於晚間舉辦電影、煙火等活動，以及設立夜市吸引人潮。,,tnch1500047,tainan_old_photos/photos/047_1500047_西市場.png,p_1500047,tainan_old_photos/thumbnails/047_1500047_西市場.png,s_1500047
48,1500048.png,22.993998,120.198967,244.32,-4.45,,西市場,1912-1926,中央研究院臺灣史研究所,費邁克集藏，宮城屋商店發行〈臺南西市場〉,臺南西市場的舊貌，為鋼筋混凝土建造，入口中央的主建築屋頂為法國馬薩建築風格，設有三面老虎窗與半圓型山牆，東北兩翼延伸為Ｌ型的店舖，設有天窗，東翼主要販售肉類，北翼主要販售蔬果。,,tnch1500048,tainan_old_photos/photos/048_1500048_西市場.png,p_1500048,tainan_old_photos/thumbnails/048_1500048_西市場.png,s_1500048
49,1500049.png,22.991977,120.208593,36.44,-1.09,,西來庵,1915,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第拾貳集附製糖號,西來庵說法為清道光年間創建，臺灣總督府檔案則記載1911年修建。1915年發生噍吧哖事件，余清芳等人在此密謀抗日，失敗告終，西來庵遭拆毀充公。戰後於正興街重建，因政府徵收土地，2001年遷至大興街，主祀五福大帝。,,tnch1500049,tainan_old_photos/photos/049_1500049_西來庵.png,p_1500049,tainan_old_photos/thumbnails/049_1500049_西來庵.png,s_1500049
50,1500050.png,23.000972,120.214502,99.13,-4.47,,臺南步兵第二聯隊,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,日治時期駐守臺灣本島的陸軍部隊，第一聯隊駐於臺北，第二聯隊駐於臺南，以濁水溪分劃守備區域，戰後由國軍接收，改為陸軍臺南光復營區，於1966年撥交轉售予成功大學，現為成大光復校區。,,tnch1500050,tainan_old_photos/photos/050_1500050_臺南步兵第二聯隊.png,p_1500050,tainan_old_photos/thumbnails/050_1500050_臺南步兵第二聯隊.png,s_1500050
51,1500051.png,22.997811,120.202525,146.47,-16.91,,赤崁樓,1938,中央研究院臺灣史研究所,山崎鋆一郎著《臺灣の風光》,1652年發生郭懷一事件，隔年荷人興建「普羅民遮城」（Provintia），1655年完工，防止暴動再起並作為商業行政中心。「赤崁樓」名稱由來，一說以赤磚為建材得名，另有說法因位在赤崁地區。由於是荷蘭人所建，又名紅毛樓。,,tnch1500051,tainan_old_photos/photos/051_1500051_赤崁樓.png,p_1500051,tainan_old_photos/thumbnails/051_1500051_赤崁樓.png,s_1500051
52,1500052.png,22.997544,120.202225,94.98,-8.91,,赤崁樓,1914,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第壹集,鄭成功1661年攻下赤崁樓，荷蘭人敗退離臺後，此處改為軍械火藥儲藏庫。1721年朱一貴事件反清分子拆除鐵製門額鑄造兵器，此後建物屢遭破壞，直到1750年清廷修護開放參觀，贏得府城八景「赤崁夕照」美譽。,,tnch1500052,tainan_old_photos/photos/052_1500052_赤崁樓.png,p_1500052,tainan_old_photos/thumbnails/052_1500052_赤崁樓.png,s_1500052
53,1500053.png,22.997628,120.202260,108.79,-11.87,,赤崁樓,1932,國立臺灣大學圖書館,臺灣總督府《臺灣事情》昭和七年版,清代十九世紀後半葉增建大士殿、蓬壺書院、文昌閣、五子祠與海神廟。日治時期曾作為陸軍衛戍病院、總督府國語學校臺南分校、總督府臺南師範學校校舍。戰後修復並公告為國定古蹟。,,tnch1500053,tainan_old_photos/photos/053_1500053_赤崁樓.png,p_1500053,tainan_old_photos/thumbnails/053_1500053_赤崁樓.png,s_1500053
54,1500054.png,22.997454,120.202759,312.66,-11.22,,赤崁樓,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,目前尚留存海神廟、文昌閣及荷式建築遺跡，另有九座贔屭碑文，是1788年平定林爽文事件，皇帝特頒以滿、漢文鑴刻的記功碑，原立於福康安生祠（今南門路附近，已不存），1935年移往大南門，戰後遷至赤崁樓存放。,,tnch1500054,tainan_old_photos/photos/054_1500054_赤崁樓.png,p_1500054,tainan_old_photos/thumbnails/054_1500054_赤崁樓.png,s_1500054
